@relation isHeader-weka.filters.unsupervised.instance.Randomize-S434-weka.filters.unsupervised.instance.Randomize-S434-weka.filters.unsupervised.instance.Randomize-S323

@attribute CellContent string
@attribute classa {yes,no}

@data
'Clinical Comment',yes
Effect**,yes
'Drugs That are Affected by CIPRO',yes
'Cytokines- Interferon-?- Interleukin-2',no
'Prescribing Recommendations',yes
'Specific Drugs Reported',yes
'serum TBG concentration',yes
'Saquinavir/Ritonavir ',no
Risperidone,no
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin',no
'TOPAMAX Concentration',yes
PK,no
'Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism.Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex.Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.',no
'CIPRO XR should be taken at least two hours before or six hours after Multivalent cation-containing products administration. [See Dosage and Administration (2).]',no
'\% Change of Coadministered DrugPharmacokinetic ParametersThe 95\% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.',no
'Drugs that may decrease',yes
'Clinical Comment ',yes
'I. Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:',no
'Simultaneous dosing of Vardenafil and Alpha-Blocker',no
'Plasma concentrations of nevirapine and the anticonvulsant may be decreased.',no
'Cmax ofCoadministeredDrug (95\% CI)',yes
'Risperidone Dose Recommendation',yes
Re-evaluate dosing. Do not exceed 8 mg/day,no
'6 to <12years(n=8)',no
'Effect on Concentration of Ritonavir or Concomitant Drug',yes
'Table 4 Drugs Tested in In Vitro Binding or In Vivo Drug Interaction Testing or With Post-Marketing Reports',no
Risperidone DoseRecommendation,yes
'Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx® (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)',no
'? Indinavir  ',no
'Clinical Comment ',yes
Fosamprenavir* ,no
'Prescribing Recommendations ',yes
'AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)',no
'AED Concentration',yes
'Clinical Rationale and Magnitude of Drug Interaction',yes
'Drugs that may decrease serum TBG concentration',yes
Tmax(hr),yes
'CLINICAL EFFECT(S)',yes
500 mg four timesdaily,no
2 or 3 mg twicedaily,no
'Drugs that may increase serum TBG concentration',yes
1.6,no
'Prescribing Recommendations',yes
0.94,no
'Because of the risk of increased exposure to nevirapine, caution should be used in concomitant administration, and patients should be monitored closely for nevirapine-associated adverse events.',no
Contraindicated with simvastatin,no
'Dosing in adult patients:A dose adjustment of lopinavir/ritonavir to 500/125 mg tablets twice daily or 533/133 mg (6.5 mL) oral solution twice daily is recommended when used in combination with nevirapine. Neither lopinavir/ritonavir tablets nor oral solution should be administered once daily in combination with nevirapine.',no
'Appropriate doses for this combination have not been established.',no
'Amiodarone Beta-adrenergic antagonists - (e.g., Propranolol > 160 mg/day) Glucocorticoids -(e.g., Dexamethasone ? 4 mg/day) Propylthiouracil (PTU)',no
'Dose Regimen of Immediate-Release Nevirapine',yes
Ketoconazole*,no
'AUC(0-24h)(ng × h/mL)',yes
'Clinical Comment',yes
'Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism. Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex. Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.',no
'HIV Antiviral Agents: Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)',yes
Topiramate Concentration,yes
'Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, propoxyphene, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics.',no
'Methylxanthine Bronchodilators- (e.g., Theophylline)',no
'Methylxanthine Bronchodilators- (e.g., Theophylline)',no
'Use with cautionTwo-fold increase in exposure',no
'? Lopinavir  ',no
'2 to <6years(n=12)',no
'300 mg/100 mg QD day 4 to 13, then 400 mg/100 mg QD, day 14 to 23',no
'Classes of Drugs',yes
n,yes
'Dosing Recommendations',yes
'Nevirapine and telaprevir should not be coadministered because changes in plasma concentrations of nevirapine, telaprevir, or both may be may result in a reduction in telaprevir efficacy or an increase in nevirapine-associated adverse events.',no
Cmin,yes
' Effect on Active Moiety(Risperidone + 9- Hydroxy-Risperidone (Ratio*)',yes
'Cmax ofDidanosine(90\% CI)',yes
'Drugs that may increase thyroid hormone secretion, which may result in hyperthyroidism',yes
'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)',no
'Use with cautionAltered serum levels of phenytoin (increased and decreased)',no
'Cmax SS(Peak plasma concentration)',yes
'Plasma concentrations of telaprevir may be decreased due to induction of CYP3A4 by nevirapine and plasma concentrations of nevirapine may be increased due to inhibition of CYP3A4 by telaprevir.',no
10 mg/day,no
0.55,no
Inhibitors,yes
'Iodide and drugs that contain pharmacological amounts of iodide may cause hyperthyroidism in euthyroid patients with Grave\'s disease previously treated with antithyroid drugs or in euthyroid patients with thyroid autonomy (e.g., multinodular goiter or hyperfunctioning thyroid adenoma).Hyperthyroidism may develop over several weeks and may persist for several months after therapy discontinuation.Amiodarone may induce hyperthyroidism by causing thyroiditis.',no
Dosing Schedule,yes
'Concurrent use may produce marked hypertension and tachycardia; cautious administration to patients receiving thyroid hormone therapy is recommended.',no
'Drugs that may decrease thyroid hormone secretion, which may result in hypothyroidism',yes
TopiramateConcentration,yes
1.2 ,no
Effect**,yes
'Simultaneous dosing of Vardenafil 5 mgand Alpha-Blocker,Placebo-Subtracted',no
'Effect on Concentration of Atazanavir or Concomitant Drug',yes
AUC,yes
'Oral contraceptives and other hormonal methods of birth control should not be used as the sole method of contraception in women taking nevirapine, since nevirapine may lower the plasma levels of these medications. An alternative or additional method of contraception is recommended.',no
'Stimulation of hepatic microsomal drug-metabolizing enzyme activity may cause increased hepatic degradation of levothyroxine, resulting in increased Ievothyroxine requirements. Phenytoin and carbamazepine reduce serum protein binding of levothyroxine, and total- and free-T4 may be reduced by 20\% to 40\%, but most patients have normal serum TSH levels and are clinically euthyroid.',no
Antiretrovirals,yes
'Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).] ',no
'? lamotrigine',no
'AED Concentration ',yes
23,no
Effect,yes
1.4,no
Desloratadine,no
1 mg single dose,no
'Co-administeredDrug Dose (Schedule)',yes
Effect**,yes
'Fosamprenavir/ Ritonavir*',no
Itraconazole,no
'Androgens / Anabolic Steroids Asparaginase Glucocorticoids Slow-Release Nicotinic Acid',no
